Time;     A1;     A2;     A3
0,186362234;10,03;-0,4;0,29
0,186670781;10;-0,37;0,29
0,186979327;9,97;-0,37;0,32
0,187287874;9,97;-0,37;0,23
0,187596421;9,94;-0,37;0,23
0,187904968;10;-0,34;0,23
0,188213514;10;-0,37;0,23
0,188522061;9,97;-0,34;0,23
0,188830608;10;-0,34;0,23
0,189139155;10;-0,34;0,26
0,189447701;9,97;-0,37;0,29
0,189756248;10;-0,34;0,32
0,190064795;9,97;-0,37;0,32
0,190373342;10,03;-0,37;0,34
0,190681888;10,06;-0,37;0,32
0,190990435;9,97;-0,4;0,32
0,191298982;10;-0,34;0,32
0,191607529;10,03;-0,37;0,32
0,191916075;9,97;-0,37;0,29
0,192224622;9,97;-0,37;0,26
0,192533169;9,97;-0,34;0,23
0,192841716;9,97;-0,37;0,2
0,193150262;10;-0,34;0,2
0,193458809;9,97;-0,37;0,2
0,193767356;9,94;-0,34;0,23
0,194075902;10;-0,37;0,23
0,194384449;10,03;-0,37;0,29
0,194692996;10,03;-0,4;0,32
0,195001543;10;-0,4;0,32
0,195310089;9,97;-0,37;0,34
0,195618636;10;-0,4;0,32
0,195927183;10,03;-0,37;0,34
0,19623573;10;-0,37;0,29
0,196544276;10,03;-0,37;0,32
0,196852823;9,97;-0,37;0,29
0,19716137;9,97;-0,37;0,23
0,197469917;10,03;-0,37;0,2
0,197778463;9,97;-0,34;0,23
0,19808701;9,94;-0,34;0,23
0,198395557;9,97;-0,4;0,23
0,198704104;9,97;-0,37;0,26
0,19901265;10,03;-0,34;0,29
0,199321197;10,03;-0,37;0,34
0,199629744;9,97;-0,37;0,34
0,199938291;10;-0,37;0,34
0,200246837;10,03;-0,37;0,32
0,200555384;9,97;-0,4;0,34
0,200863931;9,97;-0,37;0,29
0,201172478;10,03;-0,37;0,23
0,201481024;9,97;-0,37;0,23
0,201789571;9,97;-0,34;0,26
0,202098118;10;-0,37;0,2
0,202406665;9,97;-0,37;0,2
0,202715211;9,97;-0,37;0,2
0,203023758;9,97;-0,34;0,26
0,203332305;9,97;-0,37;0,23
0,203640852;10;-0,37;0,26
0,203949398;9,97;-0,4;0,32
0,204257945;10;-0,4;0,34
0,204566492;10,03;-0,37;0,34
0,204875039;10;-0,37;0,34
0,205183585;10,03;-0,4;0,34
0,205492132;10;-0,37;0,29
0,205800679;9,97;-0,4;0,29
0,206109226;9,97;-0,34;0,26
0,206417772;9,94;-0,37;0,2
0,206726319;10;-0,4;0,23
0,207034866;9,97;-0,34;0,23
0,207343413;10;-0,37;0,23
0,207651959;10,03;-0,37;0,2
0,207960506;9,94;-0,34;0,23
0,208269053;9,94;-0,34;0,23
0,2085776;10;-0,4;0,26
0,208886146;10,03;-0,4;0,32
0,209194693;10;-0,37;0,34
0,20950324;10,03;-0,37;0,34
0,209811786;10;-0,37;0,32
0,210120333;9,97;-0,4;0,32
0,21042888;10;-0,37;0,29
0,210737427;9,97;-0,37;0,26
0,211045973;9,97;-0,37;0,2
0,21135452;9,97;-0,34;0,23
0,211663067;9,97;-0,37;0,2
0,211971614;10,03;-0,37;0,2
0,21228016;10;-0,37;0,23
0,212588707;9,94;-0,34;0,2
0,212897254;9,97;-0,37;0,26
0,213205801;10,03;-0,37;0,29
0,213514347;10,06;-0,4;0,32
0,213822894;10,03;-0,37;0,34
0,214131441;9,97;-0,37;0,32
0,214439988;10;-0,37;0,34
0,214748534;10,03;-0,4;0,34
0,215057081;10;-0,37;0,32
0,215365628;10,03;-0,37;0,23
0,215674175;9,97;-0,34;0,23
0,215982721;9,92;-0,37;0,2
0,216291268;9,97;-0,34;0,2
0,216599815;10;-0,37;0,2
0,216908362;9,97;-0,37;0,26
0,217216908;10;-0,37;0,23
0,217525455;9,97;-0,34;0,26
0,217834002;10;-0,37;0,29
0,218142549;10;-0,37;0,32
0,218451095;9,97;-0,4;0,34
0,218759642;10;-0,37;0,34
0,219068189;9,97;-0,4;0,37
0,219376736;9,97;-0,37;0,32
0,219685282;10,03;-0,37;0,32
0,219993829;10;-0,34;0,29
0,220302376;9,94;-0,37;0,23
0,220610923;9,97;-0,37;0,2
0,220919469;9,97;-0,34;0,26
0,221228016;10;-0,34;0,23
0,221536563;9,97;-0,34;0,23
0,22184511;10;-0,37;0,23
0,222153656;9,97;-0,34;0,26
0,222462203;9,97;-0,37;0,29
0,22277075;10,03;-0,37;0,34
0,223079297;10;-0,4;0,32
0,223387843;9,97;-0,43;0,34
0,22369639;10;-0,43;0,32
0,224004937;9,97;-0,4;0,29
0,224313483;9,97;-0,37;0,32
0,22462203;10;-0,4;0,29
0,224930577;9,97;-0,37;0,26
0,225239124;9,97;-0,37;0,2
0,22554767;9,94;-0,34;0,23
0,225856217;9,94;-0,37;0,23
0,226164764;9,97;-0,34;0,26
0,226473311;9,97;-0,37;0,2
0,226781857;9,94;-0,37;0,23
0,227090404;9,97;-0,37;0,29
0,227398951;10;-0,37;0,34
0,227707498;10,03;-0,4;0,32
0,228016044;10;-0,37;0,34
0,228324591;9,97;-0,4;0,32
0,228633138;9,97;-0,4;0,34
0,228941685;9,97;-0,37;0,32
0,229250231;9,97;-0,4;0,26
0,229558778;10;-0,37;0,2
0,229867325;9,97;-0,37;0,23
0,230175872;10;-0,34;0,2
0,230484418;9,97;-0,37;0,2
0,230792965;9,97;-0,34;0,23
0,231101512;10;-0,37;0,2
0,231410059;9,97;-0,37;0,2
0,231718605;10;-0,37;0,26
0,232027152;10,03;-0,37;0,29
