,Time,A1,A2,A3
17453,5.385066338,6.61,16.24,-6.09
17454,5.385374884,6.64,16.53,-2.41
17455,5.385683431,10.23,23.45,-0.2
17456,5.385991978,7.07,17.91,0.98
17457,5.386300525,9.34,13.11,1.38
17458,5.386609071,12.79,14.28,3.28
17459,5.386917618,12.79,3.99,5.86
17460,5.387226165,16.27,-5.83,4.91
17461,5.387534712,12.16,-8.85,3.28
17462,5.387843258,8.68,-14.31,2.73
17463,5.388151805,11.24,-14.17,2.7
17464,5.388460352,9.25,-12.27,1.44
17465,5.388768898,9.51,-10.46,-1.41
17466,5.389077445,10.26,-4.05,-1.06
17467,5.389385992,9.69,-0.86,-0.34
17468,5.389694539,10.58,0.03,-1.78
17469,5.390003085,9.48,3.1,-2.13
17470,5.390311632,10.23,4.11,-1.35
17471,5.390620179,10.09,0.89,-0.06
17472,5.390928726,10.32,3.51,-0.46
17473,5.391237272,11.47,0.75,1.03
17474,5.391545819,9.11,-11.12,4.54
17475,5.391854366,11.04,-3.65,2.33
17476,5.392162913,10.03,-7.19,1.84
17477,5.392471459,7.21,-25.49,4.6
17478,5.392780006,10.69,-14.37,1.52
17479,5.393088553,8.19,-9.4,-2.27
17480,5.3933971,9.08,-10.55,-3.1
17481,5.393705646,13.05,5.23,-3.36
17482,5.394014193,7.24,8.94,-4.86
17483,5.39432274,6.44,15.23,-6.67
17484,5.394631287,8.42,22.02,-4.31
17485,5.394939833,6.78,18.39,-1.01
17486,5.39524838,8.39,22.73,0.32
17487,5.395556927,9.66,17.96,1.47
17488,5.395865474,10.61,11.96,2.47
17489,5.39617402,12.93,12.1,4.68
17490,5.396482567,15.66,-0.95,5.49
17491,5.396791114,14.23,-8.94,3.91
17492,5.397099661,9.74,-11.27,3.02
17493,5.397408207,10.61,-16.61,2.62
17494,5.397716754,10.09,-13.94,2.18
17495,5.398025301,8.82,-11.52,0.17
17496,5.398333848,10.35,-8.31,-1.44
17497,5.398642394,9.74,-1.81,-0.34
17498,5.398950941,10.75,-0.03,-0.75
17499,5.399259488,9.48,1.64,-2.04
17500,5.399568035,9.6,4.17,-1.61
17501,5.399876581,11.15,2.87,-0.49
17502,5.400185128,8.08,1.01,-0.29
17503,5.400493675,13.08,3.85,-0.2
17504,5.400802222,12.76,-3.31,2.85
17505,5.401110768,4.57,-16.27,3.79
17506,5.401419315,10.0,-9.8,2.01
17507,5.401727862,12.73,-9.63,3.59
17508,5.402036409,7.36,-21.38,3.39
17509,5.402344955,8.33,-14.03,-0.55
17510,5.402653502,11.78,-4.6,-3.1
17511,5.402962049,10.61,-1.78,-3.25
17512,5.403270595,7.27,7.79,-3.88
17513,5.403579142,8.33,16.24,-6.67
17514,5.403887689,7.9,17.91,-5.78
17515,5.404196236,6.81,18.57,-2.1
17516,5.404504782,8.71,21.9,-0.69
17517,5.404813329,7.93,18.34,0.92
17518,5.405121876,9.92,12.42,2.13
17519,5.405430423,12.44,12.3,3.68
17520,5.405738969,13.71,3.25,5.66
17521,5.406047516,15.81,-7.53,4.86
17522,5.406356063,11.35,-10.81,3.45
17523,5.40666461,9.0,-14.97,2.82
17524,5.406973156,10.84,-14.37,2.5
17525,5.407281703,9.51,-11.61,1.12
17526,5.40759025,10.06,-9.43,-1.26
17527,5.407898797,10.12,-3.08,-0.98
17528,5.408207343,9.66,0.17,-0.6
17529,5.40851589,10.49,0.8,-1.93
17530,5.408824437,9.46,3.85,-2.01
17531,5.409132984,10.2,3.62,-1.18
17532,5.40944153,10.23,0.86,-0.4
